Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
1973284#1,Kpay,Colombia,54,03-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1005557#1,PedidosYa,Argentina,44,03-Aug-26,Unqualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4435990#1,Life,Colombia,3,02-Aug-26,Below Threshold,"SketchUp Pro 2022, SketchUp Pro 2023",Outdated
1623263#1,Dabin Pablo Ramon,Argentina,50,02-Aug-26,Unqualified,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
2064944#1,Thekca Ingenieria S.A,Colombia,19,02-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
1957697#2,Nueve Veinte S.A.,Chile,56,02-Aug-26,Unqualified,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
2486048#1,Coop. Agua De Oro Ltda,Argentina,40,02-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
379359#1,Pooae,Colombia,11,02-Aug-26,Unqualified,"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
3397875#1,Galvis Ortiz Edgar Humberto,Colombia,8,02-Aug-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
3399382#1,Cooperativa Unquillo,Argentina,53,02-Aug-26,Unqualified,"SketchUp 2025, SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
662592#1,Gobierno De Santa Fe,Argentina,61,02-Aug-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
4377162#1,Tecmesh,Ecuador,50,01-Aug-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
2078362#1,Davor Drpic,Chile,3,01-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2023",Outdated
709903#1,Marriott S.A.,Ecuador,12,01-Aug-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
1054098#1,Ind,Chile,6,01-Aug-26,Unqualified,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022",Outdated
