Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
8635140,740820#1,"Mexico, LATAM",Muebles,Muebles,,2,2,0,2018-02-09 07:26 PM ,2025-07-14 08:12 PM ,2,,,8,,,,,,,APPROVABLE,,2025-06-02 06:16 AM ,2026-05-06 06:32 PM ,,
68627,999867#1,"Mexico, LATAM",Geovoladuras,Geovoladuras,,2,2,0,2018-02-01 01:12 AM ,2023-10-03 01:47 AM ,2,,,8,,,,,,,APPROVABLE,,2023-03-25 06:26 PM ,2026-03-17 07:38 AM ,,
68634,999215#1,"Mexico, LATAM",Rosendo de la Torre Ruiz,Rosendo de la Torre Ruiz,,2,2,0,2018-07-17 04:28 PM ,2024-09-19 12:11 AM ,2,,,8,,,,,,,APPROVABLE,,2023-03-25 06:26 PM ,2026-03-17 07:38 AM ,,
4058756,999609#1,"Mexico, LATAM",Bge,Bge,,2,2,0,2018-04-23 04:52 PM ,2025-05-29 12:37 AM ,2,,,6,,,,,,,APPROVABLE,,2024-04-25 09:52 PM ,2026-03-17 07:38 AM ,,
7833181,999084#1,"Mexico, LATAM",Chery Omar Perez Torres,Chery Omar Perez Torres,,1,1,0,2018-04-28 06:38 PM ,2025-04-16 08:21 PM ,2,,,4,,,,,,,APPROVABLE,,2025-04-30 05:25 AM ,2026-03-17 07:38 AM ,,
4058390,997435#1,"Mexico, LATAM",Luciano Gerbilsky Arquitectos,Luciano Gerbilsky Arquitectos,,2,2,0,2018-07-05 07:05 PM ,2023-10-12 05:21 PM ,2,,,6,,,,,,,APPROVABLE,,2024-04-25 09:48 PM ,2026-03-17 07:37 AM ,,
8639197,997350#1,"Mexico, LATAM",BAIG Agencia 360,BAIG Agencia 360,,1,1,0,2018-07-04 06:49 PM ,2023-02-28 09:40 PM ,1,,,7,,,,,,,APPROVABLE,,2025-06-02 07:03 AM ,2026-03-17 07:37 AM ,,
2733833,998026#1,"LATAM, Costa Rica",Nissan,Nissan,,1,1,0,2018-07-16 01:56 PM ,2025-01-03 02:53 PM ,2,,,4,,,,,,,APPROVABLE,,2024-01-30 08:39 PM ,2026-03-17 07:37 AM ,,
4057543,998226#1,"Mexico, LATAM",BarriolaConchita,BarriolaConchita,,1,1,0,2018-04-24 06:51 PM ,2024-05-21 11:21 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 09:40 PM ,2026-03-17 07:37 AM ,,
4058146,998049#1,"Mexico, LATAM",IVT INGENIERÍA,IVT INGENIERÍA,,1,1,0,2018-04-08 03:56 AM ,2024-09-11 05:42 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 09:46 PM ,2026-03-17 07:37 AM ,,
8647228,998274#1,"Mexico, LATAM",Feg,Feg,,2,2,0,2018-02-10 01:15 AM ,2023-10-07 09:23 AM ,3,,,4,,,,,,,APPROVABLE,,2025-06-02 08:39 AM ,2026-03-17 07:37 AM ,,
4053336,998406#1,"Mexico, LATAM",Gustavo Alvarez - Fotógrafo Mazatlán & Durango,Gustavo Alvarez - Fotógrafo Mazatlán & Durango,,1,1,0,2018-05-29 05:42 AM ,2024-04-14 12:02 AM ,3,,,2,,,,,,,APPROVABLE,,2024-04-25 09:10 PM ,2026-03-17 07:37 AM ,,
68648,998294#1,"Mexico, LATAM",Archlab,Archlab,,2,2,0,2018-07-30 04:21 PM ,2024-08-11 04:57 PM ,2,,,8,,,,,,,APPROVABLE,,2023-03-25 06:26 PM ,2026-03-17 07:37 AM ,,
4821837,997771#1,"Mexico, LATAM, Canada, NA",Haliburton Forest,Haliburton Forest,,2,2,0,2018-04-14 01:20 PM ,2024-07-16 05:44 PM ,2,,,6,,,,,,,APPROVABLE,,2024-06-01 06:42 PM ,2026-03-17 07:37 AM ,,
4039616,997107#1,"Mexico, LATAM",Ecosave Mx,Ecosave Mx,,1,1,0,2018-01-09 12:07 AM ,2023-04-28 08:39 PM ,1,,,7,,,,,,,APPROVABLE,,2024-04-25 07:24 PM ,2026-03-17 07:36 AM ,,
68662,996653#1,"Mexico, LATAM",Oftalmologia,Oftalmologia,,1,1,0,2018-02-01 11:14 PM ,2024-07-11 07:03 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:27 PM ,2026-03-17 07:36 AM ,,
4044914,996658#1,"Mexico, LATAM",Coparmex Tijuana,Coparmex Tijuana,,1,1,0,2018-03-23 11:45 PM ,2023-08-29 07:01 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 08:11 PM ,2026-03-17 07:36 AM ,,
4058366,996206#1,"Mexico, LATAM",Fabio Esparza,Fabio Esparza,,2,2,0,2018-06-08 09:01 PM ,2023-04-13 06:35 AM ,2,,,6,,,,,,,APPROVABLE,,2024-04-25 09:48 PM ,2026-03-17 07:36 AM ,,
4047183,996719#1,"Mexico, LATAM",Atrapada,Atrapada,,1,1,0,2018-02-28 12:27 AM ,2023-04-07 05:19 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 08:23 PM ,2026-03-17 07:36 AM ,,
