external_case_id,confirmed_at,source,batch_numbers
740820#1,2026-05-13 22:23:50,file,2
999867#1,2026-05-13 22:23:50,file,2
999215#1,2026-05-13 22:23:50,file,2
999609#1,2026-05-13 22:23:50,file,2
999084#1,2026-05-13 22:23:50,file,2
997435#1,2026-05-13 22:23:50,file,2
997350#1,2026-05-13 22:23:50,file,2
998026#1,2026-05-13 22:23:50,file,2
998226#1,2026-05-13 22:23:50,file,2
998049#1,2026-05-13 22:23:50,file,2
998274#1,2026-05-13 22:23:50,file,2
998406#1,2026-05-13 22:23:50,file,2
998294#1,2026-05-13 22:23:50,file,2
997771#1,2026-05-13 22:23:50,file,2
997107#1,2026-05-13 22:23:50,file,2
996653#1,2026-05-13 22:23:50,file,2
996658#1,2026-05-13 22:23:50,file,2
996206#1,2026-05-13 22:23:50,file,2
996719#1,2026-05-13 22:23:50,file,2
996722#1,2026-05-13 22:23:50,file,2
995429#1,2026-05-13 22:23:50,file,2
995359#1,2026-05-13 22:23:50,file,2
995760#1,2026-05-13 22:23:50,file,2
995596#1,2026-05-13 22:23:50,file,2
995064#1,2026-05-13 22:23:50,file,2
994708#1,2026-05-13 22:23:50,file,2
994709#1,2026-05-13 22:23:50,file,2
994372#1,2026-05-13 22:23:50,file,2
994728#1,2026-05-13 22:23:50,file,2
994671#1,2026-05-13 22:23:50,file,2
993985#1,2026-05-13 22:23:50,file,2
993833#1,2026-05-13 22:23:50,file,2
992736#1,2026-05-13 22:23:50,file,2
993450#1,2026-05-13 22:23:50,file,2
992712#1,2026-05-13 22:23:50,file,2
993610#1,2026-05-13 22:23:50,file,2
993451#1,2026-05-13 22:23:50,file,2
991295#1,2026-05-13 22:23:50,file,2
992545#1,2026-05-13 22:23:50,file,2
991350#1,2026-05-13 22:23:50,file,2
992043#1,2026-05-13 22:23:50,file,2
991441#1,2026-05-13 22:23:50,file,2
992594#1,2026-05-13 22:23:50,file,2
992602#1,2026-05-13 22:23:50,file,2
992295#1,2026-05-13 22:23:50,file,2
991699#1,2026-05-13 22:23:50,file,2
991744#1,2026-05-13 22:23:50,file,2
991781#1,2026-05-13 22:23:50,file,2
992302#1,2026-05-13 22:23:50,file,2
991028#2,2026-05-13 22:23:50,file,2
