Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products
4428804#1,Ceduca,Peru,92,26-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4461695#1,Super,Peru,4,26-May-26,Aborted (Closed),"SketchUp Pro 2022, SketchUp Pro 2023"
1330720#1,universidad de ciencias y humanidades,Peru,23,26-May-26,Aborted (Closed),"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4440252#1,Universidad Nacional Ciro Alegría,Peru,3,26-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2022"
4423154#1,Cientifica,Peru,64,26-May-26,Aborted (Closed),"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
754569#1,Edm,Argentina,6,25-May-26,Below Threshold,"SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021"
4567984#1,Onpexip,Argentina,5,25-May-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023"
968170#2,Legaria Enrique Ricardo Bourlot Edgardo Roberto Riehme Jorge Alberto Y Fernandez,Argentina,20,25-May-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
2452620#1,Jorgeardiladuarte,Colombia,5,23-May-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023"
4583990#1,Ecosolarcolombia,Colombia,4,22-May-26,Unqualified,SketchUp 2026
4534197#1,Tinkuarch,Colombia,3,21-May-26,Unqualified,"SketchUp 2024, SketchUp 2025"
4531902#1,Esing,Colombia,6,21-May-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2022"
740512#1,Suma,Colombia,8,20-May-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022"
4581401#1,Lemondigital,Chile,3,20-May-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022"
4541128#1,Interbyte Br Rede De Acesso A Internet - Eireli,Bolivia,3,19-May-26,Unqualified,"SketchUp Pro 2019, SketchUp Pro 2021"
4551348#1,Puntodoc S.A.,Paraguay,3,19-May-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2021, SketchUp Pro 2023"
4527078#1,Openstreetmap,Bolivia,4,19-May-26,Below Threshold,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2022"
4498544#1,Gentrackmasteri,Ecuador,3,17-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025"
1016501#2,Educational Center San Ignacio de Loyola,Paraguay,14,14-May-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023"
4630850#1,Ls Internet,Chile,3,12-May-26,Below Threshold,SketchUp Pro 2021
