Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
4657749#1,Papeltapiz,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2026,Difference
4651842#1,Jomich,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2026,Difference
4643421#1,Mysic,Mexico,1,11-Jul-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2022",Difference
4538958#1,DELAGARZA,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4657882#1,Zasuletcorp,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4647643#1,Tooearlyclub,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4646761#1,Torrezdesignstudio,Mexico,2,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4529972#1,Foincomx,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4608672#1,Jahoind,Mexico,1,11-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
4620506#1,Lennina,Mexico,1,11-Jul-26,Unqualified,SketchUp 2025,Difference
4605341#1,Siamodesign,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2026,Difference
4602132#1,Diarquitectura,Mexico,1,11-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022",Difference
4575748#1,Ilrbuildworks,Mexico,2,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4657891#1,Hxgroup,Mexico,1,11-Jul-26,Below Threshold,SketchUp 2025,Difference
4545361#1,Utmzo,Mexico,1,11-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4581429#1,Xdobo,Mexico,2,10-Jul-26,Unqualified,SketchUp 2025,Difference
4550984#1,E6d65af9-0fc6-4ecc-B1f8-77594aabcc9c,Mexico,1,10-Jul-26,Aborted (Closed),"SketchUp 2025, SketchUp 2026",Difference
4654464#1,Paintedkitchen,Mexico,1,10-Jul-26,Unqualified,SketchUp Pro 2022,Difference
4655863#1,Germen,Mexico,1,10-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021",Difference
4607380#1,Propia,Mexico,1,10-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
4613633#1,Esparavel,Mexico,2,10-Jul-26,Below Threshold,SketchUp 2025,Difference
4555409#1,C2666728-360c-4131-B07e-2885ff6e203e,Mexico,1,10-Jul-26,Aborted (Closed),SketchUp Pro 2020,Difference
4653026#1,Prodesaexpansion,Mexico,1,10-Jul-26,Below Threshold,SketchUp 2026,Difference
4599104#1,Fmsgroup,Mexico,2,10-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022",Difference
4609209#1,Indheca Grupo Constructor,Mexico,1,10-Jul-26,Unqualified,SketchUp 2025,Difference
3260801#1,Ritter Sport,Nicaragua,2,09-Jul-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2023",Difference
4657636#1,Tipicsa,Guatemala,1,09-Jul-26,Below Threshold,SketchUp 2026,Difference
4498176#1,Inatec,Nicaragua,1,03-Feb-26,Aborted (Closed),SketchUp Pro,Difference
4601487#1,Mspinternational,Nicaragua,1,02-Feb-26,Below Threshold,SketchUp Pro,Difference
4583173#1,Lumosity,Nicaragua,2,29-Jan-26,Unqualified,SketchUp Pro,Difference
4599787#1,Nilac Nicaragua,Nicaragua,1,27-Jan-26,Below Threshold,SketchUp Pro,Difference
4598798#1,Galgomasa,Nicaragua,1,22-Jan-26,Below Threshold,SketchUp Pro,Difference
4405874#1,Jumpintoreality,Nicaragua,1,21-Jan-26,Below Threshold,SketchUp Pro,Difference
3881130#1,Ministeriopublico,Nicaragua,2,16-Jan-26,Below Threshold,SketchUp Pro,Difference
4566292#1,Asmenic,Nicaragua,1,09-Jan-26,Aborted (Closed),SketchUp Pro,Difference
4521982#1,Maderas Para Siempre,Nicaragua,2,06-Jan-26,Aborted (Closed),SketchUp Pro,Difference
4593930#1,Bb0408,Nicaragua,1,02-Jan-26,Aborted (Closed),SketchUp Pro,Difference
4592024#1,Consorcioecp,Nicaragua,1,23-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4375430#1,Kwlatam,Nicaragua,2,21-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4589920#1,Logecsa,Nicaragua,1,12-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4510981#1,Pmsnm,Nicaragua,1,11-Dec-25,Aborted (Closed),SketchUp Pro,Difference
4551271#1,B4b04977-D101-4674-9764-C8cb1ccc365c,Dominican Republic,1,29-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4572107#1,Prontopasta,Dominican Republic,1,22-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4580084#1,Bluediamondcg,Dominican Republic,1,14-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4578064#1,Codacero,Dominican Republic,1,06-Nov-25,Aborted (Closed),SketchUp Pro,Difference
4531595#1,Doors &. Kitchen,Panama,1,27-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4534708#1,Servicios Nunez Srl,Dominican Republic,1,17-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4585007#1,5d144aad-A752-48c5-A613-8ef7adbe8d4e,Panama,1,14-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4566783#1,Juancito Sport,Dominican Republic,1,14-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4566543#1,Af74eee3-99b8-4bc0-Aaa1-Bbc2d6254653,Dominican Republic,1,13-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4566218#1,Belfondsrl,Dominican Republic,1,12-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4518247#1,Socialhinge,Dominican Republic,1,11-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4554724#1,Publicitariasamana,Dominican Republic,1,11-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4553342#1,Pgdpkg,Dominican Republic,1,07-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4584792#1,F52578e5-7467-4c5f-Bae7-57f7001d4c99,Panama,1,07-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4545405#1,Kitchen One,Panama,1,06-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4550172#1,Aeropaq,Dominican Republic,1,02-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4505379#1,Asesorsura,Panama,1,01-Oct-25,Aborted (Closed),SketchUp Pro,Difference
4552136#1,Vbc,Dominican Republic,1,18-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4523611#1,Perezycia,Panama,1,18-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4551324#1,Grupoeminsa,Dominican Republic,1,16-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4548125#1,Rlconsultingpty,Panama,1,10-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4550264#1,Disneyparks,Dominican Republic,1,09-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4545154#1,Teknopuertas,Guatemala,1,05-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4545585#1,Es Consulting,Guatemala,1,02-Sep-25,Aborted (Closed),SketchUp Pro,Difference
4548288#1,Hospigen,Guatemala,1,29-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4537079#1,Parque Lefevre s Communal Board,Panama,1,22-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4569585#1,Feblesnet,Guatemala,1,18-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4534396#1,2318ab26-5c11-4f43-8128-922ec808e52a,Panama,1,13-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4514205#1,Goodnewsco,Panama,1,13-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4557409#1,7ac4c906-4375-4195-Bdf4-B043fc6ed404,Panama,1,12-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4511103#1,Care Solace,Honduras,1,11-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4556860#1,B3f35eea-E2a5-4371-843e-Ede3a9303eb7,Honduras,1,10-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4522395#1,Frater,Guatemala,1,09-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4512896#1,The Panama Clinic,Panama,1,08-Aug-25,Aborted (Closed),SketchUp Pro,Difference
2342636#1,Equipos,Honduras,1,06-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4543256#1,Colegiointernaciones,Guatemala,1,02-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4543127#1,Viu,Panama,1,01-Aug-25,Aborted (Closed),SketchUp Pro,Difference
4511024#1,Democratic Centre,Panama,1,31-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4534594#1,Equinox,Guatemala,1,28-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4539008#1,Caces,Guatemala,1,27-Jul-25,Aborted (Closed),SketchUp Pro,Difference
1770760#2,Alutech,Honduras,2,25-Jul-25,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2021, SketchUp Pro 2022",Difference
4570086#1,Superxtra,Panama,1,22-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4557015#1,Ab004bef-3dbe-43cd-8ed1-F33e38f7bbc8,Honduras,1,22-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4570747#1,Ergotec,Guatemala,1,18-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4330796#1,Diseine,Honduras,2,10-Jul-25,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2021, SketchUp Pro 2022",Difference
4384362#1,Jamarhn,Honduras,1,06-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4462034#1,Elliottdover,Honduras,1,02-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4533962#1,Inacif,Guatemala,1,01-Jul-25,Aborted (Closed),SketchUp Pro,Difference
4465364#1,Napkns,Honduras,1,21-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4531569#1,Buildopshq,Honduras,1,17-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4486000#1,Roatanholding,Honduras,1,17-Jun-25,Aborted (Closed),SketchUp Pro,Difference
2418546#1,grupo civ,Honduras,1,14-Jun-25,Aborted (Closed),SketchUp Pro,Difference
1129673#1,"Corporacion Industrial del Norte, SA",Honduras,2,14-Jun-25,Aborted (Closed),SketchUp Pro,Difference
2180107#1,Hdawn,Honduras,1,13-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4528640#1,Alcosahn,Honduras,1,11-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4572414#1,Aislamientos Marchetti Guatemala,Guatemala,1,05-Jun-25,Aborted (Closed),SketchUp Pro,Difference
4555499#1,7f485f3e-C6eb-4aed-B93a-7d1493c91cdf,Guatemala,1,22-May-25,Aborted (Closed),SketchUp Pro,Difference
4558500#1,5bdbf94d-A58b-4f33-Bac1-6951a5ebf4c4,Guatemala,1,17-May-25,Aborted (Closed),SketchUp Pro,Difference
4574279#1,Gsolid,Guatemala,1,15-May-25,Aborted (Closed),SketchUp Pro,Difference
