External Case ID,Organization,Country,No. of Machines,Smartflow Last Event,Pleteo Last Event,Months Outdated,Priority,Investigation Status,Investigator
1885905#1,La Polar,Chile,8,2026-08-07,2022-12-20,43,🟣 Critical,06. Launched,
550319#1,cencosud retail s.a.,Chile,11,2026-08-19,2023-01-24,42,🟣 Critical,06. Launched,
450260#1,Metricacarpinteria,Colombia,5,2026-09-03,2023-09-26,35,🟣 Critical,06. Launched,
1072233#1,LKEC Constructores,Ecuador,10,2026-08-07,2024-08-20,23,🟣 Critical,06. Launched,Ives Romero
309679#1,Arquitectura GB,Argentina,18,2026-08-25,2025-04-23,16,🟣 Critical,06. Launched,
671998#1,Figueroa Arquitectos S A,Chile,4,2026-09-04,2025-05-26,15,🟣 Critical,06. Launched,
313475#1,Compania De Medicina Prepagada Colsanitas S.A. 860078828 7,Colombia,41,2026-09-03,2025-05-28,15,🟣 Critical,06. Launched,
1761506#1,VESTA Furniture & Design,Colombia,66,2026-09-03,2025-05-31,15,🟣 Critical,06. Launched,
610348#1,ADEXUS S A Rep por Silva & Cia,Chile,23,2026-09-03,2025-05-28,15,🟣 Critical,06. Launched,
1431500#1,Hogar de Cristo,Chile,12,2026-09-02,2025-05-23,15,🟣 Critical,06. Launched,
1958696#1,Grupoumi,Colombia,9,2026-09-01,2025-05-29,15,🟣 Critical,06. Launched,
482546#1,Celulosa Arauco Y Constitucion S.a.,Chile,61,2026-08-31,2025-05-29,15,🟣 Critical,06. Launched,Marcelo Herrera
1144175#1,Escalar Gerencia Inmobiliaria S.A.,Colombia,11,2026-08-30,2025-05-18,15,🟣 Critical,06. Launched,Rafael Montaño
3638199#2,Avanza Park,Chile,9,2026-08-28,2025-05-06,15,🟣 Critical,06. Launched,
1039031#1,Alharquitectura,Colombia,8,2026-08-26,2025-05-09,15,🟣 Critical,06. Launched,
3259268#1,180arquitectos,Colombia,3,2026-08-25,2025-04-27,15,🟣 Critical,06. Launched,
2333375#1,Apdes,Argentina,65,2026-08-21,2025-04-27,15,🟣 Critical,03. Investigator - Disqualified (Data),Maila Dawat
715091#1,Gagliardi Spagnolo Arquitectos,Argentina,23,2026-08-13,2025-04-23,15,🟣 Critical,03. Investigator - Disqualified (Data),Maria Suros
735360#1,Arquitectos e Ingenieros Asociados S.A.,Colombia,78,2026-08-10,2025-04-15,15,🟣 Critical,03. Investigator - Disqualified (Contact Profiling),Maria Celeste
1857348#1,Build Pro,Chile,21,2026-08-27,2025-05-27,14,🟣 Critical,06. Launched,
651616#1,Mvparq,Colombia,9,2026-08-24,2025-06-14,14,🟣 Critical,06. Launched,
672550#1,Constructora Dlb Limitada,Chile,23,2026-08-16,2025-05-18,14,🟣 Critical,06. Launched,
2007898#1,Danacorp,Chile,4,2026-08-14,2025-05-28,14,🟣 Critical,06. Launched,
1288156#1,El Poblado S.A.,Colombia,46,2026-08-13,2025-05-28,14,🟣 Critical,06. Launched,
1281783#1,Condiseno,Colombia,8,2026-08-07,2025-05-13,14,🟣 Critical,06. Launched,
517223#1,Arquitecturainfinita,Ecuador,10,2026-07-05,2025-06-11,12,🟣 Critical,06. Launched,
3437986#1,Londonoarquitectos,Ecuador,8,2026-07-02,2025-06-02,12,🟣 Critical,06. Launched,Emil Bechara
887990#1,Crecoscorp SA,Ecuador,7,2026-03-10,2025-03-18,11,🔴 Red,06. Launched,Emil Bechara
1005366#1,CDITEC S.A.,Ecuador,3,2026-04-02,2025-05-29,10,🔴 Red,06. Launched,Maria Suros
701648#2,FRACTALES CIA. LTDA.,Ecuador,3,2026-02-09,2025-05-25,8,🔴 Red,06. Launched,Maria Suros
519292#1,"Soc. Austral de Electricidad S,A,",Chile,29,2026-08-31,2026-01-16,7,🔴 Red,06. Launched,Jesus Ameneiro
319589#1,Super Brix,Colombia,25,2026-09-04,2026-03-27,5,🟠 Orange,06. Launched,
1194257#1,RHONA,Chile,16,2026-08-19,2026-03-09,5,🟠 Orange,06. Launched,Luis Indriago
911360#2,Martabid,Chile,19,2026-07-30,2026-03-17,4,🟠 Orange,06. Launched,Luis Indriago
298063#1,Instudioec,Ecuador,4,2025-07-15,2025-04-07,3,🟠 Orange,06. Launched,Emil Bechara
1030712#1,Shock PRODUCCIONES,Colombia,8,2026-08-20,2026-08-08,—,🟡 Yellow,03. Investigator - Disqualified (Data),Rafael Montaño
484697#1,Banco de Chile,Chile,56,2026-08-31,2026-06-10,2,🟡 Yellow,06. Launched,Luis Indriago
484852#1,Grupo VILASECA,Ecuador,15,2025-08-15,2025-06-05,2,🟡 Yellow,06. Launched,Ives Romero
1073208#1,AMARILO S A S,Colombia,43,2026-08-25,2026-07-08,1,🟡 Yellow,06. Launched,Maria Celeste
932640#2,Grupo Constructor Minevol,Ecuador,12,2025-06-24,2025-05-13,1,🟡 Yellow,06. Launched,Ives Romero
